time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-04T14:10:23.840Z,19.7919,95.911,10,4.5,mb,,147,1.433,0.54,us,us60007pe6,2020-02-04T19:46:53.113Z,"23km WNW of Nay Pyi Taw, Burma",earthquake,4,1.9,0.124,19,reviewed,us,us
2020-02-04T13:19:24.062Z,-29.7011,-177.4901,36.08,5.2,mb,,106,0.594,0.51,us,us60007pct,2020-02-04T14:43:26.040Z,"62km SE of Raoul Island, New Zealand",earthquake,9.6,7.6,0.086,46,reviewed,us,us
2020-02-04T10:41:01.514Z,-2.9415,140.5503,35,4.8,mb,,52,6.867,1.12,us,us60007p9r,2020-02-04T11:17:48.040Z,"34km S of Abepura, Indonesia",earthquake,5.7,1.9,0.097,33,reviewed,us,us
2020-02-04T09:47:22.697Z,-37.645,176.5332,282.07,5.2,mb,,46,0.822,1.38,us,us60007p8t,2020-02-05T09:49:15.816Z,"15km NNE of Maketu, New Zealand",earthquake,8.4,6,0.096,36,reviewed,us,us
2020-02-04T08:40:11.138Z,-22.531,-179.1205,545.09,4.6,mb,,140,5.451,0.93,us,us60007p7z,2020-02-04T09:16:18.040Z,"212km SSW of Ndoi Island, Fiji",earthquake,11.4,7.3,0.101,29,reviewed,us,us
2020-02-04T03:55:01.115Z,-3.3901,139.1425,43.89,4.7,mb,,203,6.899,0.46,us,us60007p43,2020-02-04T04:12:04.040Z,"180km WSW of Abepura, Indonesia",earthquake,12.2,7.7,0.129,18,reviewed,us,us
2020-02-04T00:10:56.440Z,19.3141,-68.5781,12,4.5,ml,16,281,1.4394,0.88,pr,pr2020035000,2020-02-11T05:23:52.040Z,"38km NNE of Punta Cana, Dominican Republic",earthquake,4.39,31.61,0.51,8,reviewed,pr,pr
2020-02-03T17:02:57.019Z,23.5082,121.5276,31.25,4.9,mb,,94,0.241,1.36,us,us60007njx,2020-02-08T13:10:06.156Z,"52km S of Hualian, Taiwan",earthquake,4.5,5.9,0.058,94,reviewed,us,us
2020-02-03T12:12:39.107Z,-0.258,125.2287,35,4.9,mb,,40,2.37,1.32,us,us60007ndb,2020-02-03T12:40:06.040Z,"142km SE of Modayag, Indonesia",earthquake,6.8,2,0.069,65,reviewed,us,us
2020-02-03T11:18:07.737Z,-5.1307,134.2763,30.33,4.9,mb,,116,2.986,0.58,us,us60007ncn,2020-02-03T12:18:59.040Z,"70km N of Dobo, Indonesia",earthquake,9.5,5.4,0.071,63,reviewed,us,us
2020-02-03T11:14:46.572Z,-18.1631,-179.2403,623.02,4.7,mb,,83,2.61,0.97,us,us60007nck,2020-02-03T12:28:10.040Z,"242km SE of Lambasa, Fiji",earthquake,13.9,8.8,0.033,278,reviewed,us,us
2020-02-03T10:29:55.632Z,10.6424,-86.0037,10,4.5,mb,,150,0.658,0.53,us,us60007nbd,2020-02-05T02:17:10.839Z,"41km WNW of Sardinal, Costa Rica",earthquake,6.3,1.9,0.087,39,reviewed,us,us
2020-02-03T05:02:58.366Z,-3.9906,152.3002,178.15,4.8,mb,,90,0.241,0.72,us,us60007n5g,2020-02-03T06:06:11.040Z,"26km NNE of Rabaul, Papua New Guinea",earthquake,10.4,6.3,0.079,49,reviewed,us,us
2020-02-03T02:04:25.493Z,-14.4516,168.0056,10,4.7,mb,,157,6.991,1.15,us,us60007n2m,2020-02-03T02:43:42.040Z,"79km SE of Sola, Vanuatu",earthquake,14,1.9,0.118,22,reviewed,us,us
2020-02-02T21:52:36.844Z,-17.6857,-178.7786,558.28,5,mb,,86,3.02,0.91,us,us60007mym,2020-02-02T22:07:35.040Z,"240km SE of Lambasa, Fiji",earthquake,10.7,10,0.113,25,reviewed,us,us
2020-02-02T19:35:12.832Z,27.6038,140.1622,460.93,4.5,mb,,82,1.868,0.94,us,us60007mw5,2020-02-02T19:51:00.040Z,"211km WNW of Chichi-shima, Japan",earthquake,15,11.7,0.11,24,reviewed,us,us
2020-02-02T16:05:42.422Z,30.7546,104.5351,9.32,4.8,mww,,29,4.305,0.55,us,us60007mte,2020-02-11T20:45:01.053Z,"14km SE of Zhaozhen, China",earthquake,7.2,4,0.08,15,reviewed,us,us
2020-02-02T15:08:04.044Z,-31.9615,57.2744,10,4.6,mb,,95,10.969,0.57,us,us70007n4k,2020-02-11T17:59:25.040Z,"Southwest Indian Ridge",earthquake,6.6,1.8,0.11,25,reviewed,us,us
2020-02-02T11:11:19.287Z,28.7335,130.0727,18.07,4.7,mb,,117,2.473,0.98,us,us60007mqd,2020-02-02T11:41:40.040Z,"70km NE of Naze, Japan",earthquake,5.8,4.8,0.1,30,reviewed,us,us
2020-02-02T10:08:48.572Z,-0.5139,-91.3904,10,4.6,mb,,87,1.115,0.86,us,us60007mpr,2020-02-02T10:34:15.040Z,"67km NW of Puerto Villamil, Ecuador",earthquake,11.6,1.9,0.125,19,reviewed,us,us
2020-02-02T08:37:43.401Z,-10.8944,165.7846,35,4.9,mb,,142,5.925,0.7,us,us60007mn6,2020-02-02T08:56:59.040Z,"20km SSW of Lata, Solomon Islands",earthquake,11.8,2,0.091,38,reviewed,us,us
2020-02-02T07:19:13.297Z,-1.6081,134.0593,35.89,5,mb,,95,2.229,0.8,us,us60007mm4,2020-02-02T07:37:02.040Z,"82km S of Manokwari, Indonesia",earthquake,7.5,7.2,0.062,82,reviewed,us,us
2020-02-02T06:28:08.990Z,35.5239,138.7728,181.68,4.8,mb,,112,0.973,0.82,us,us60007ml8,2020-02-02T06:52:42.118Z,"8km ENE of Fujikawaguchiko, Japan",earthquake,6.2,4.2,0.08,50,reviewed,us,us
2020-02-02T05:44:00.403Z,53.42,-35.2283,10,4.7,mb,,107,9.508,0.65,us,us60007mkk,2020-02-02T06:28:28.040Z,"Reykjanes Ridge",earthquake,9.1,1.9,0.038,207,reviewed,us,us
2020-02-02T04:24:40.239Z,-16.2655,-175.5052,303.16,4.6,mb,,92,4.295,0.77,us,us70007n3z,2020-02-12T05:15:25.040Z,"190km W of Hihifo, Tonga",earthquake,15,7.2,0.105,27,reviewed,us,us
2020-02-02T03:32:44.547Z,13.801,-92.8294,10,5.6,mww,,139,1.314,1.23,us,us60007mj2,2020-02-03T18:00:55.040Z,"104km SW of Ocos, Guatemala",earthquake,7.1,1.9,0.065,23,reviewed,us,us
